id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
5,17994288157708582,0.0173176832788147,0.0046728971962616,0.0330086864964464,0,1,1,0.0,0.0,0.3333333333333333,2023,2,7,14,0,0.0773333333333333,2,1,0,0,0,1,0,0,0,0,0
4,17968440542171427,0.0123147969982682,0.0,0.0064227428270597,0,1,1,0.1947821457094684,0.0,0.3333333333333333,2023,2,7,14,22,0.0559999999999999,2,0,0,0,0,1,0,0,0,0,0
3,17952394475308791,0.0284394843178757,0.0186915887850467,0.0099499868386417,1,0,1,0.2190256455763599,0.0277777777777777,0.3333333333333333,2023,2,7,16,1,0.0453333333333333,4,0,0,0,0,0,0,1,0,0,0
2,17966018468190816,0.0089474696940542,0.0093457943925233,0.0009476177941563,0,1,1,0.1667228680450794,0.0,0.3333333333333333,2023,2,7,16,19,0.0559999999999999,4,0,0,0,0,0,0,1,0,0,0
1,17979631531962300,0.0112372522609197,0.0186915887850467,0.0013687812582258,0,1,1,0.0,0.0,0.3333333333333333,2023,2,7,18,1,0.1013333333333333,6,1,0,0,0,0,0,0,0,1,0
25,17947888316359605,0.0098133538579949,0.0,0.0011581995261911,0,1,1,0.0,0.0,0.3333333333333333,2023,2,7,18,22,0.0426666666666666,6,1,0,0,0,0,0,0,0,1,0
24,17967048164321913,0.0300365595535886,0.0607476635514018,0.0099499868386417,1,0,1,0.2443517614695181,0.0277777777777777,0.3333333333333333,2023,2,7,19,20,0.1093333333333333,7,0,0,0,0,0,0,0,0,0,1
23,18346234003029119,0.0207812199345776,0.0373831775700934,0.0108449591997894,0,1,1,0.2447954565622504,0.0,0.3333333333333333,2023,2,8,20,22,0.1013333333333333,1,0,0,0,1,0,0,0,0,0,0
22,17989155028874779,0.0161439291899172,0.0093457943925233,0.0093182416425375,0,1,1,0.2767592510426834,0.0833333333333333,0.6666666666666666,2023,2,8,21,23,0.1146666666666666,2,0,0,0,0,1,0,0,0,0,0
21,18349751908041601,0.0307485087550509,0.0841121495327102,0.0147407212424322,1,0,1,0.2893601916762801,0.0555555555555555,0.3333333333333333,2023,2,8,22,23,0.048,3,0,0,0,0,0,1,0,0,0,0
20,17948388080586428,0.0281123725226091,0.102803738317757,0.0122137404580152,0,1,1,0.2658266039577602,0.1388888888888889,0.3333333333333333,2023,2,8,23,23,0.1519999999999999,4,0,0,0,0,0,0,1,0,0,0
19,17997658750711260,0.0121608620357898,0.0093457943925233,0.0014214266912345,1,0,1,0.0,0.0,0.3333333333333333,2023,2,8,25,0,0.0693333333333333,6,1,0,0,0,0,0,0,0,1,0
18,17983577068908368,0.0171252645757167,0.0467289719626168,0.0059489339299815,0,1,1,0.0,0.0,0.3333333333333333,2023,2,8,25,23,0.0586666666666666,6,1,0,0,0,0,0,0,0,1,0
17,18095217259313249,0.0279776794304406,0.0327102803738317,0.0047907344037904,0,1,1,0.2484692519300736,0.0,0.6666666666666666,2023,2,8,26,21,0.1013333333333333,7,0,0,0,0,0,0,0,0,0,1
16,17861970377852822,0.0229363094092745,0.0373831775700934,0.006370097394051,0,1,1,0.223302866270299,0.0,0.3333333333333333,2023,2,9,27,23,0.064,1,0,0,0,1,0,0,0,0,0,0
15,17999411647628870,0.0165287665961131,0.0046728971962616,0.0081073966833377,0,1,1,0.2135770698376076,0.0,0.3333333333333333,2023,2,9,28,23,0.0853333333333333,2,0,0,0,0,1,0,0,0,0,0
14,17919299642678993,0.0299595920723494,0.0514018691588785,0.0467491445117136,0,1,1,0.0,0.0,0.3333333333333333,2023,3,9,2,2,0.1493333333333333,4,1,0,0,0,0,0,1,0,0,0
13,18167891869281427,0.0136809697902636,0.0,0.0018952355883127,0,1,1,0.0,0.0,0.3333333333333333,2023,3,9,3,0,0.064,5,1,0,0,0,0,0,0,1,0,0
12,17955099170306268,0.0112949778718491,0.0,0.0006843906291129,0,1,1,0.0,0.0,0.3333333333333333,2023,3,9,3,23,0.1573333333333333,5,1,0,0,0,0,0,0,1,0,0
11,18176477560269624,0.0164133153742543,0.014018691588785,0.0026322716504343,0,1,1,0.0,0.0,0.3333333333333333,2023,3,9,5,1,0.1173333333333333,7,1,0,0,0,0,0,0,0,0,1
10,17962144676166090,0.0077929574754666,0.0046728971962616,0.0007370360621216,0,1,1,0.0,0.0,0.6666666666666666,2023,3,10,6,0,0.12,1,1,0,0,1,0,0,0,0,0,0
9,17884399928800623,0.0103328843563594,0.0,0.0054224795998947,0,1,1,0.0,0.0,0.3333333333333333,2023,3,10,6,23,0.1013333333333333,1,1,0,0,1,0,0,0,0,0,0
8,17977112497930609,0.0122763132576486,0.0046728971962616,0.0041589892076862,0,1,1,0.1984914366847102,0.0277777777777777,0.6666666666666666,2023,3,10,7,22,0.0533333333333333,2,0,0,0,0,1,0,0,0,0,0
7,17920424924680506,0.0202616894362132,0.02803738317757,0.0032113714135298,1,0,1,0.2257698109858905,0.0,0.3333333333333333,2023,3,10,8,20,0.1173333333333333,3,0,0,0,0,0,1,0,0,0,0
6,17859195527910916,0.0143159515104868,0.0233644859813084,0.0015267175572519,1,0,1,0.0,0.0,0.3333333333333333,2023,3,10,9,23,0.1093333333333333,4,1,0,0,0,0,0,1,0,0,0
5,17883114041812435,0.0093515489705599,0.0046728971962616,0.0014214266912345,1,0,1,0.0,0.0,0.3333333333333333,2023,3,10,11,2,0.0853333333333333,6,1,0,0,0,0,0,0,0,1,0
