,id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,Unnamed: 9,accounts_reached,timestamp,media_type,time_of_day,followers_gained,engagement_rate
353,4,18301982644184851,1989,116,124,"JUST KIDDING, we’re posting until @collegegameday announces that they’re coming to Vermillion on Saturday. One of the longest rivalries is waiting for you guys.. 
#VivaLaYotes #GamedaytoVermillion",False,True,True,,18869,2023-10-19T16:19:25+0000,IMAGE,afternoon,4,0.11813026657480524
354,5,18238264465215458,2386,174,250,"What a beautiful background for a college gameday. The state of South Dakota is ready to welcome you to vermillion. Hope to see you next weekend! @collegegameday 
#VivaLaYotes #collegegameday",False,True,True,,19589,2023-10-18T19:53:56+0000,IMAGE,night,8,0.143447853387105
355,6,18046758964516609,1099,0,5,"Don’t worry, we didn’t forget about you. Father’s Day will be coming early on Saturday. 
#VivaLaYotes",False,True,True,,12958,2023-10-18T16:10:03+0000,IMAGE,afternoon,0,0.085198333076092
356,7,18390965851010145,2688,196,358,I’m starting to sound like a broken record here but the state of South Dakota wants college gameday to come to Vermillion on October 28th. Let’s put FCS football on the map. 😏 @collegegameday,True,False,False,,21802,2023-10-17T21:36:13+0000,IMAGE,night,28,0.14870195394917898
357,8,18004596053305473,1381,1,32,"Same energy 
#VivaLaYotes",False,True,True,,15881,2023-10-17T17:15:03+0000,CAROUSEL_ALBUM,night,0,0.08903721428121655
358,9,17964594503644175,2337,103,428,"@collegegameday OCTOBER 28th. VERMILLION, SOUTH DAKOTA. One of the biggest in-state rivalries in college football. See you soon 😏",True,False,False,,19112,2023-10-16T21:30:38+0000,IMAGE,night,24,0.1500627877773127
359,10,17956735826543159,1584,9,26,"First rankings and we’re already #1 🤷🏼‍♂️
#VivaLaYotes",True,False,True,,15209,2023-10-16T18:04:47+0000,IMAGE,night,4,0.10645012821355776
360,11,17994258539100317,1541,4,44,"Bro save some pussy for the rest of us !
#VivaLaYotes",False,True,True,,12446,2023-10-16T16:57:39+0000,IMAGE,afternoon,0,0.12767154105736783
361,12,17978899322587788,1379,0,25,A career day for @aidanbouman and the coyotes roll to 5-1 📈,True,False,False,,13323,2023-10-14T23:10:38+0000,CAROUSEL_ALBUM,night,0,0.10538167079486602
362,13,17951581016686433,1057,5,41,GET FUCKED @barstoolysu,False,True,False,,13503,2023-10-14T21:24:03+0000,IMAGE,night,0,0.08168555135895726
363,14,18006885040880231,1056,2,6,"Big game tomorrow against #23 Youngstown State. Show out at the dome and let’s fucking go.
#VivaLaYotes",False,True,True,,10685,2023-10-13T22:17:43+0000,IMAGE,night,1,0.09957884885353299
364,15,18023426959742969,685,3,1,"It’s always Modelo time at Starbucks 🍻
#VivaLaYotes",True,False,True,,0,2023-10-13T19:05:42+0000,VIDEO,night,0,inf
365,16,18373047361066402,1369,1,171,a lot of bold ones this week 🤣 #VivaLaYotes #TinderTuesday,False,True,True,,14634,2023-10-10T21:29:03+0000,CAROUSEL_ALBUM,night,1,0.10530271969386361
366,17,18002873618107160,1527,4,33,"I’ve never been so excited for FCS football in my life
#VivaLaYotes",False,True,True,,13859,2023-10-10T19:57:48+0000,IMAGE,night,0,0.11285085504004617
367,18,18006271454046630,2351,13,213,"This weekend took off 10+ years of my lifespan
#VivaLaYotes",False,True,True,,18471,2023-10-09T23:55:09+0000,CAROUSEL_ALBUM,night,16,0.13951599805099887
